# MWR cash flows (bonus_as=income)
# Pega en Sheets/Excel y aplica =XIRR(B:B, A:A) — debe coincidir con el MWR all-time.
# 152 flujos + 1 valor final = 153 filas.

date	amount	kind	title
2024-08-22	-101.00	BUY	Core S&P 500 USD (Acc)
2024-08-22	-200.93	BUY	NVIDIA
2024-08-22	197.19	SELL	NVIDIA
2024-08-22	-251.09	BUY	NVIDIA
2024-08-22	-101.00	BUY	CTS Eventim & Co.
2024-08-22	97.92	SELL	CTS Eventim & Co.
2024-08-22	-50.70	BUY	JD Sports Fashion
2024-08-22	242.48	SELL	NVIDIA
2024-08-22	-101.02	BUY	NVIDIA
2024-08-22	98.11	SELL	NVIDIA
2024-08-22	-26.00	BUY	Peloton Interactive (A)
2024-08-22	-26.00	BUY	Apple
2024-08-22	23.08	SELL	Peloton Interactive (A)
2024-08-22	-26.00	BUY	Opera (ADR)
2024-08-22	-26.99	BUY	Deutsche Telekom
2024-08-23	-113.94	BUY	NVIDIA
2024-08-26	51.40	SELL	JD Sports Fashion
2024-09-03	-50.94	BUY	NVIDIA
2024-10-03	0.01	DIVIDEND	NVIDIA
2024-10-09	-76.30	BUY	JD.com (ADR)
2024-10-17	-2000.99	BUY	Feb. 2025
2024-10-25	-1138.88	BUY	Core S&P 500 USD (Acc)
2024-11-14	0.03	DIVIDEND	Apple
2024-11-15	198.02	SELL	NVIDIA
2024-12-03	-2.00	BUY	Verlosung
2024-12-22	-25.00	BUY	ETF-Geschenk
2025-01-13	0.72	DIVIDEND	Opera (ADR)
2025-01-21	25.96	SELL	Apple
2025-02-24	106.07	DIVIDEND	Feb. 2025
2025-02-24	1928.51	DIVIDEND	Feb. 2025
2025-03-03	-50.00	BUY	Core S&P 500 USD (Acc)
2025-04-02	-50.00	BUY	Core S&P 500 USD (Acc)
2025-04-07	-101.00	BUY	Core S&P 500 USD (Acc)
2025-04-07	-481.91	BUY	Core S&P 500 USD (Acc)
2025-04-08	-9.00	BUY	ETF-Geschenk
2025-04-14	0.93	DIVIDEND	Deutsche Telekom
2025-04-29	1.73	DIVIDEND	JD.com (ADR)
2025-05-02	-100.00	BUY	Core S&P 500 USD (Acc)
2025-06-02	-100.00	BUY	Core S&P 500 USD (Acc)
2025-06-06	-29.80	BUY	JD.com (ADR)
2025-06-09	-21.00	BUY	MSCI World Small Cap USD (Acc)
2025-06-09	-21.00	BUY	Digitalisation USD (Acc)
2025-06-09	-4.00	BUY	Core MSCI EM IMI USD (Acc)
2025-06-09	-31.00	BUY	Core MSCI EM IMI USD (Acc)
2025-06-24	-21.00	BUY	S&P 500 Information Tech USD (Acc)
2025-06-26	21.91	SELL	S&P 500 EUR (Acc)
2025-06-26	-200.97	BUY	S&P 500 Information Tech USD (Acc)
2025-06-26	18.41	SELL	Digitalisation USD (Acc)
2025-07-02	-15.00	BUY	MSCI India USD (Acc)
2025-07-02	-15.00	BUY	Core MSCI Europe EUR (Acc)
2025-07-02	-30.00	BUY	Core MSCI EM IMI USD (Acc)
2025-07-02	-120.00	BUY	S&P 500 Information Tech USD (Acc)
2025-07-02	-20.00	BUY	MSCI World Small Cap USD (Acc)
2025-07-03	-501.00	BUY	Core S&P 500 USD (Acc)
2025-07-03	-301.00	BUY	Core MSCI EM IMI USD (Acc)
2025-07-03	-201.00	BUY	MSCI World Small Cap USD (Acc)
2025-07-07	0.49	SELL	Tesla
2025-07-16	-15.00	BUY	MSCI India USD (Acc)
2025-07-16	-315.00	BUY	Core MSCI Europe EUR (Acc)
2025-07-16	-30.00	BUY	Core MSCI EM IMI USD (Acc)
2025-07-16	-320.00	BUY	S&P 500 Information Tech USD (Acc)
2025-07-16	-20.00	BUY	MSCI World Small Cap USD (Acc)
2025-07-21	-101.00	BUY	Solana
2025-07-28	26.94	SELL	Opera (ADR)
2025-07-28	31.29	SELL	Deutsche Telekom
2025-07-28	84.80	SELL	JD.com (ADR)
2025-08-04	-10.00	BUY	Solana
2025-08-04	-15.00	BUY	MSCI India USD (Acc)
2025-08-04	-15.00	BUY	Core MSCI Europe EUR (Acc)
2025-08-04	-30.00	BUY	Core MSCI EM IMI USD (Acc)
2025-08-04	-20.00	BUY	S&P 500 Information Tech USD (Acc)
2025-08-04	-20.00	BUY	MSCI World Small Cap USD (Acc)
2025-08-18	-10.00	BUY	Solana
2025-08-18	-15.00	BUY	MSCI India USD (Acc)
2025-08-18	-15.00	BUY	Core MSCI Europe EUR (Acc)
2025-08-18	-30.00	BUY	Core MSCI EM IMI USD (Acc)
2025-08-18	-30.00	BUY	S&P 500 Information Tech USD (Acc)
2025-08-18	-20.00	BUY	MSCI World Small Cap USD (Acc)
2025-09-02	-10.00	BUY	Solana
2025-09-02	-15.00	BUY	MSCI India USD (Acc)
2025-09-02	-15.00	BUY	Core MSCI Europe EUR (Acc)
2025-09-02	-30.00	BUY	Core MSCI EM IMI USD (Acc)
2025-09-02	-30.00	BUY	S&P 500 Information Tech USD (Acc)
2025-09-02	-20.00	BUY	MSCI World Small Cap USD (Acc)
2025-09-16	-10.00	BUY	Solana
2025-09-16	-15.00	BUY	MSCI India USD (Acc)
2025-09-16	-15.00	BUY	Core MSCI Europe EUR (Acc)
